!SIL	SIL
<UNK>	SPN
HANDELSFLÒTAR	h A n n @ l s f l u t a R
HANDELSFLÒTE	h A n n @ l s f l u t a
HANDELSFLÒTEN	h A n n @ l s f l u t @ n
HANDFÓR	h A n n f u R
HARDVÊR	h A R d v @ R
HARDVÊRA	h A R d v e R A
HARDVÊRET	h A R d v e R @ t
HARDVÊRI	h A R d v e R i
HAUGRÒKA	h a w g R u k A
HAUGRÒKAARE	h a w g R u k o R a
HAUGRÒKAAST	h a w g R u k O s t
HAUGRÒKAASTE	h a w g R u k O s t a
HEDSTRÖM	h E d s t R y m
HELLSTRØM	h E l s t R y m
HELTEDØD	h E l t e d y d
HELTEDØDEN	h E l t e d y d @ n
HELTEDØDENS	h E l t e d y d @ n s
HELTEDØDS	h E l t e d W d s
HERMUSÉ	h a R m u s e
HERMUSÉA	h a R m u s e A
HERMUSÉANE	h a R m u s e a n a
HERMUSÉAR	h a R m u s e a R
HERMUSÉEN	h a R m u s e @ n
HERMUSÉET	h a R m u s e @ t
HERMUSÉI	h a R m u s e i
HJELPEFÔRA	j E l p e f u R A
HJELPEFÔRET	j E l p e f u R @ t
HJELPEFÔRI	j E l p e f u R i
HÓL	h u l
HÒL	h u l
HÓLA	h u l A
HÒLA	h u l A
HÓLANDE	h u l A n n a
HÒLANDE	h u l A n n a
HÓLANE	h u l a n a
HÓLAR	h u l a R
HÒLAR	h u l a R
HÓLAS	h u l a s
HÒLAS	h u l a s
HÓLAST	h u l A s t
HÒLAST	h u l A s t
HÓLE	h u l a
HÒLE	h u l a
HÓLEN	h u l @ n
HÒLENE	h u l E n a
HÓLER	h u l @ R
HÒLER	h u l @ R
HÒLET	h u l @ t
HÒLI	h u l i
HOLLANDÉSANE	h O l l A n n e s a n a
HOLLANDÉSAR	h O l l A n n e s a R
HÒLONE	h u l u n a
HÒLOR	h u l u R
HÓLT	h O l t
HÓLTE	h O l t a
HÒP	h u p
HÒPA	h u p A
HÒPANDE	h u p A n n a
HÒPAR	h u p a R
HÒPAS	h u p a s
HÒPAST	h u p A s t
HÒPE	h u p a
HÓV	h u v
HÒV	h u v
HÓVA	h u v A
HÒVA	h u v A
HÓVANE	h u v a n a
HÓVAR	h u v a R
HOVEDÆREN	h u v e d a R @ n
HÓVEN	h u v @ n
HÓVET	h u v @ t
HÒVET	h u v @ t
HÓVI	h u v i
HÒVI	h u v i
HUNDEVÊR	h u n n e v @ R
HUNDEVÊRA	h u n n e v e R A
HUNDEVÊRET	h u n n e v e R @ t
HUNDEVÊRI	h u n n e v e R i
HUNDFÓR	h u n n f u R
HUNDREÅRSJUBILÉ	h u n n R e O R S u b i l e
HUNDREÅRSJUBILÉA	h u n n R e O R S u b i l e A
HUNDREÅRSJUBILÉET	h u n n R e O R S u b i l e @ t
HUNDREÅRSJUBILÉI	h u n n R e O R S u b i l e i
HUSTLERS	h u s t l e R s
HÆL	h E l
HÆLE	h E l a
HÆLES	h E l @ s
HÆLS	h a l s
HÆLT	h a l t
HÆLTS	h a l t s
HÆR	h a R
HÆRENE	h a R E n a
HÆRENES	h a R e n @ s
HÆRMUSÉ	h a R m u s e
HÆRMUSÉA	h a R m u s e A
HÆRMUSÉET	h a R m u s e @ t
HÆRMUSÉI	h a R m u s e i
HÆRNES	h a R n @ s
HÆRS	h a S
HÆSEVÊR	h E s e v @ R
HÆSEVÊRA	h E s e v e R A
HÆSEVÊRET	h E s e v e R @ t
HÆSEVÊRI	h E s e v e R i
HØ	h y
HØAS	h y a s
HØEN	h y @ n
HØENE	h y E n a
HØENES	h y e n @ s
HØENS	h y @ n s
HØER	h y @ R
HØERS	h y a S
HØL	h y l
HØLAND	h y l A n n
HØLANDSVEIEN	h y l A n n s v aI @ n
HØLEN	h y l @ n
HØLENDE	h y l E n n a
HØLENE	h y l E n a
HØLENES	h y l e n @ s
HØLENS	h y l @ n s
HØLER	h y l @ R
HØLERS	h y l a S
HØLKA	h W l k A
HØLKAS	h W l k a s
HØLKE	h W l k a
HØLKENE	h W l k E n a
HØLKENES	h W l k e n @ s
HØLKER	h W l k @ R
HØLKERS	h W l k a S
HØLKES	h W l k @ s
HØLKET	h W l k @ t
HØLKETS	h W l k E t s
HØLS	h W l s
HØLT	h W l t
HØLTE	h W l t a
HØNA	h y n A
HØNAS	h y n a s
HØNE	h y n a
HØNEFÔR	h y n e f u R
HØNEFÔRA	h y n e f u R A
HØNEFÔRET	h y n e f u R @ t
HØNEFÔRI	h y n e f u R i
HØNEN	h y n @ n
HØNENS	h y n @ n s
HØNER	h y n @ R
HØNES	h y n @ s
HØNESS	h y n E s
HØNS	h W n s
HØNSEFÔRI	h W n s e f u R i
HØNSEFRIKASSÉANE	h W n s @ f R i k A s s e a n a
HØNSEFRIKASSÉAR	h W n s @ f R i k A s s e a R
HØR	h y R
HØRER	h y R @ R
HØS	h y s
HØST	h W s t
HØSTS	h W s t s
HØTT	h W t
HØV	h y v
HØVA	h y v A
HØVAS	h y v a s
HØVE	h y v a
HØVE	h y v a
HØVENDE	h y v E n n a
HØVENDES	h y v E n n @ s
HØVENE	h y v E n a
HØVENES	h y v e n @ s
HØVER	h y v @ R
HØVERS	h y v a S
HØVERSTAD	h y v a R S t a d
HØVES	h y v @ s
HØVET	h y v @ t
HØVETS	h y v E t s
HØVIK	h y v i k
HØVING	h y v I N
HØVÅG	h y v o g
HØYVÊR	h y y v @ R
HØYVÊRA	h y y v e R A
HØYVÊRET	h y y v e R @ t
HØYVÊRI	h y y v e R i
IDÉANE	i d e a n a
IDÉAR	i d e a R
IDÉASSOSIASJONANE	i d e A s s u s i A S u n a n a
IDÉASSOSIASJONAR	i d e A s s u s i A S u n a R
IDÉDEBATTANE	i d e d e b A t a n a
IDÉDEBATTAR	i d e d e b A t a R
IDÉDRAMA	i d e d R a m A
IDÉDRAMAET	i d e d R a m a t
IDÉDRAMAI	i d e d R a m A I
IDÉDRAMAA	i d e d R a m o
IDÉDUGNADANE	i d e d u N n a d a n a
IDÉDUGNADAR	i d e d u N n a d a R
IDÉDUGNADEN	i d e d u N n a d @ n
IDÉDUGNADENE	i d e d u N n a d E n a
IDÉDUGNADER	i d e d u N n a d @ R
IDÉENE	i d e E n a
IDÉFLOG	i d e f l u g
IDÉFLOGA	i d e f l u g A
IDÉFLOGET	i d e f l u g @ t
IDÉFLOGI	i d e f l u j i
IDÉFLUKT	i d e f l u k t
IDÉFLUKTA	i d e f l u k t A
IDÉFLUKTENE	i d e f l u k t E n a
IDÉFLUKTER	i d e f l u k t @ R
IDÉFLUKTI	i d e f l u k t i
IDÉGRUNNLAGA	i d e g R u n l a g A
IDÉGRUNNLAGI	i d e g R u n l a j i
IDÉHISTORIONE	i d e h I s t u R i u n a
IDÉHISTORIOR	i d e h I s t u R i u R
IDÉHISTORISKARE	i d e h I s t u R I s k a R a
IDÉHISTORISKAST	i d e h I s t u R I s k A s t
IDÉHISTORISKASTE	i d e h I s t u R I s k A s t a
IDÉKAMP	i d e k A m p
IDÉKAMPANE	i d e k A m p a n a
IDÉKAMPAR	i d e k A m p a R
IDÉKAMPEN	i d e k A m p @ n
IDÉKOMPLEKS	i d e k O m p l E k s
IDÉKOMPLEKSA	i d e k O m p l E k s A
IDÉKOMPLEKSET	i d e k O m p l E k s @ t
IDÉKOMPLEKSI	i d e k O m p l E k s i
IDÉKONKURRANSANE	i d e k O N k u R R A n s a n a
IDÉKONKURRANSAR	i d e k O N k u R R A n s a R
IDÉLAUS	i d e l a w s
IDÉLAUSARE	i d e l a w s a R a
IDÉLAUSAST	i d e l a w s A s t
IDÉLAUSASTE	i d e l a w s A s t a
IDÉLAUSE	i d e l a w s a
IDÉLAUST	i d e l a w s t
IDÉLÆRONE	i d e l a R u n a
IDÉLÆROR	i d e l a R u R
IDÉLØYSA	i d e l y y s A
IDÉLØYSE	i d e l y y s a
IDÉLØYSENE	i d e l y y s E n a
IDÉLØYSER	i d e l y y s @ R
IDÉLØYSONE	i d e l y y s u n a
IDÉLØYSOR	i d e l y y s u R
IDÉMAKAR	i d e m a k a R
IDÉMAKARANE	i d e m a k a R a n a
IDÉMAKARAR	i d e m a k a R a R
IDÉMAKAREN	i d e m a k a R @ n
IDÉPÅVERKNAD	i d e p o v a R k n a d
IDÉPÅVERKNADANE	i d e p o v a R k n a d a n a
IDÉPÅVERKNADAR	i d e p o v a R k n a d a R
IDÉPÅVERKNADEN	i d e p o v a R k n a d @ n
IDÉPÅVERKNADENE	i d e p o v a R k n a d E n a
IDÉPÅVERKNADER	i d e p o v a R k n a d @ R
IDÉRIKARE	i d e R i k a R a
IDÉRIKAST	i d e R i k A s t
IDÉRIKASTE	i d e R i k A s t a
IDÉRIKDOMANE	i d e R I k d u m a n a
IDÉRIKDOMAR	i d e R I k d u m a R
IDÉRIKDOMEN	i d e R I k d u m @ n
IDÉRIKDOMMANE	i d e R I k d O m m a n a
IDÉRIKDOMMAR	i d e R I k d O m m a R
IDÉRIKDOMMEN	i d e R I k d O m m @ n
IDÉRIKT	i d e R I k t
IDÉSFÆRANE	i d e s f a R a n a
IDÉSFÆRAR	i d e s f a R a R
IDÉSFÆRE	i d e s f a R a
IDÉSFÆREN	i d e s f a R @ n
IDÉSKISSONE	i d e S I s s u n a
IDÉSKISSOR	i d e S I s s u R
IDÉSTRAUM	i d e s t R a w m
IDÉSTRAUMANE	i d e s t R a w m a n a
IDÉSTRAUMAR	i d e s t R a w m a R
IDÉSTRAUMEN	i d e s t R a w m @ n
IDÉSTRØM	i d e s t R y m
IDÉSTRØMANE	i d e s t R y m a n a
IDÉSTRØMAR	i d e s t R y m a R
IDÉSTRØMEN	i d e s t R y m @ n
IDÉSYSTEM	i d e s y s t @ m
IDÉSYSTEMA	i d e s y s t e m A
IDÉSYSTEMET	i d e s y s t e m @ t
IDÉSYSTEMI	i d e s y s t e m i
IDÉTEVLING	i d e t @ v l I N
IDÉTEVLINGA	i d e t @ v l I N A
IDÉTEVLINGANE	i d e t @ v l I N a n a
IDÉTEVLINGAR	i d e t @ v l I N a R
IDÉTEVLINGI	i d e t @ v l I N i
IDÉUTVIKLING	i d e u t v I k l I N
INDISKRÉ	I n n I s k R e
INDISKRÉARE	I n n I s k R e a R a
INDISKRÉAST	I n n I s k R e A s t
INDISKRÉASTE	I n n I s k R e A s t a
INDISKRÉE	I n n I s k R e a
INNLÉT	I n l e t
INNLÈT	I n l @ t
INNLØST	I n l W s t
INNLØSTE	I n l W s t a
INNLØSTS	I n l W s t s
ISFÒR	I s f u R
ISFÒRA	I s f u R A
ISFÒRENE	I s f u R E n a
ISFÒRER	I s f u R @ R
ISFÒRI	I s f u R i
JAKTTROFÉ	j A k t R u f e
JAKTTROFÉA	j A k t R u f e A
JAKTTROFÉANE	j A k t R u f e a n a
JAKTTROFÉAR	j A k t R u f e a R
JAKTTROFÉEN	j A k t R u f e @ n
JAKTTROFÉET	j A k t R u f e @ t
JAKTTROFÉI	j A k t R u f e i
JARNBANEKUPÉ	j A R n b a n e k u p e
JARNBANEKUPÉANE	j A R n b a n e k u p e a n a
JARNBANEKUPÉAR	j A R n b a n e k u p e a R
JARNBANEKUPÉEN	j A R n b a n e k u p e @ n
JERNBANEKUPÉANE	j a R n b a n e k u p e a n a
JERNBANEKUPÉAR	j a R n b a n e k u p e a R
JORDBÆRGELÉ	j O R d b a R g e l e
JORDBÆRGELÉANE	j O R d b a R g e l e a n a
JORDBÆRGELÉAR	j O R d b a R g e l e a R
JORDBÆRGELÉEN	j O R d b a R g e l e @ n
JUBILÉI	j u b i l e i
JUSTISKOMITÉANE	j u s t I s k u m i t e a n a
JUSTISKOMITÉAR	j u s t I s k u m i t e a R
JÜRG	j y R g
JÜRGEN	j y R g @ n
JYVÆSKYLÆ	j y v a S y l E
JÆMTLAND	j a m t l A n n
JÆREN	j a R @ n
JØKEL	j y k @ l
JØKELEN	j y k e l @ n
JØKELENS	j y k e l @ n s
JØKELS	j y k E l s
JØKLENE	j W k l E n a
JØKLENES	j W k l e n @ s
JØKLER	j W k l @ R
JØKLERS	j W k l a S
JØNKØPING	j W N k y p I N
JØNSSON	j W n s s u n
JØREN	j y R @ n
JÖRG	j W R g
KAFÉANE	k a f e a n a
KAFÉAR	k a f e a R
KAFÉEIGAR	k a f e aI g a R
KAFÉEIGARANE	k a f e aI g a R a n a
KAFÉEIGARAR	k a f e aI g a R a R
KAFÉEIGAREN	k a f e aI g a R @ n
KAFÉGJEST	k a f e j E s t
KAFÉGJESTANE	k a f e j @ s t a n a
KAFÉGJESTAR	k a f e j @ s t a R
KAFÉGJESTEN	k a f e j E s t @ n
KAFÉGJESTENE	k a f e j @ s t E n a
KAFÉGJESTER	k a f e j E s t @ R
KAFÉLIVA	k a f e l i v A
KAFÉLIVET	k a f e l i v @ t
KAFÉLIVI	k a f e l i v i
KAFÉLOKALA	k a f e l u k a l A
KAFÉLOKALE	k a f e l u k a l a
KAFÉLOKALET	k a f e l u k a l @ t
KAFÉLOKALI	k a f e l u k a l i
KAFÉMAT	k a f e m a t
KAFÉMATANE	k a f e m a t a n a
KAFÉMATAR	k a f e m a t a R
KAFÉMATEN	k a f e m a t @ n
KAFÉVERT	k a f e v a R t
KAFÉVERTANE	k a f e v a R t a n a
KAFÉVERTAR	k a f e v a R t a R
KAFÉVERTEN	k a f e v a R t @ n
KAFÉVERTINNA	k a f e v a R t I n n A
KAFÉVERTINNENE	k a f e v a R t I n n E n a
KAFÉVERTINNER	k a f e v a R t I n n @ R
KAFÉVERTINNONE	k a f e v a R t I n n u n a
KAFÉVERTINNOR	k a f e v a R t I n n u R
KALDVÊR	k A l l v @ R
KALDVÊRA	k A l l v e R A
KALDVÊRET	k A l l v e R @ t
KALDVÊRI	k A l l v e R i
KALVEFRIKASSÉ	k A l v @ f R i k A s s e
KALVEFRIKASSÉANE	k A l v @ f R i k A s s e a n a
KALVEFRIKASSÉAR	k A l v @ f R i k A s s e a R
KALVEFRIKASSÉEN	k A l v @ f R i k A s s e @ n
KAMÉANE	k a m e a n a
KAMÉAR	k a m e a R
KAMÉNÅLANE	k a m e n o l a n a
KAMÉNÅLAR	k a m e n o l a R
KANAPÉANE	k a n a p e a n a
KANAPÉAR	k a n a p e a R
KANINFÔR	k a n I n f u R
KANINFÔRA	k a n I n f u R A
KANINFÔRET	k a n I n f u R @ t
KANINFÔRI	k a n I n f u R i
KARÉT	k a R e t
KARÉTANE	k a R e t a n a
KARÉTAR	k a R e t a R
KARÉTEN	k a R e t @ n
KARRÉANE	k A R R e a n a
KARRÉAR	k A R R e a R
KARRIÉRE	k A R R i e R a
KARRIÉREN	k A R R i e R @ n
KARRIÉRER	k A R R i e R @ R
KASSASUCCÈS	k A s s a s u k @ s
KASSASUCCÈSANE	k A s s a s u k e s a n a
KASSASUCCÈSAR	k A s s a s u k e s a R
KASSASUCCÈSEN	k A s s a s u k e s @ n
KASSESUCCÈS	k A s s e s u k @ s
KASSESUCCÈSANE	k A s s e s u k e s a n a
KASSESUCCÈSAR	k A s s e s u k e s a R
KASSESUCCÈSEN	k A s s e s u k e s @ n
KJÊL	 dZ e l
KJÊLANE	 dZ e l a n a
KJÊLAR	 dZ e l a R
KJÊLARMATUR	 dZ e l A R m a t u R
KJÊLARMATURANE	 dZ e l A R m a t u R a n a
KJÊLARMATURAR	 dZ e l A R m a t u R a R
KJÊLARMATUREN	 dZ e l A R m a t u R @ n
KJÊLBÆR	 dZ E l b a R
KJÊLBÆRA	 dZ E l b a R A
KJÊLBÆRET	 dZ E l b a R @ t
KJÊLBÆRI	 dZ E l b a R i
KJÊLEN	 dZ e l @ n
KJÊLFLIKKAR	 dZ E l f l I k a R
KJÊLFLIKKARANE	 dZ E l f l I k a R a n a
KJÊLFLIKKARAR	 dZ E l f l I k a R a R
KJÊLFLIKKAREN	 dZ E l f l I k a R @ n
KJÊLFORM	 dZ E l f O R m
KJÊLFORMA	 dZ E l f O R m A
KJÊLFORMENE	 dZ E l f O R m E n a
KJÊLFORMER	 dZ E l f O R m @ R
KJÊLFORMI	 dZ E l f O R m i
KJÊLFORMAARE	 dZ E l f O R m o R a
KJÊLFORMAAST	 dZ E l f O R m O s t
KJÊLFORMAASTE	 dZ E l f O R m O s t a
KJÊLHUS	 dZ E l h u s
KJÊLHUSA	 dZ E l h u s A
KJÊLHUSET	 dZ E l h u s @ t
KJÊLHUSI	 dZ E l h u s i
KJÊLJARN	 dZ E j A R n
KJÊLJARNA	 dZ E j A R n A
KJÊLJARNET	 dZ E j A R n @ t
KJÊLJARNI	 dZ E j A R n i
KJÊLJERN	 dZ E j a R n
KJÊLJERNA	 dZ E j a R n A
KJÊLJERNET	 dZ E j a R n @ t
KJÊLJERNI	 dZ E j a R n i
KJÊLOST	 dZ e l w s t
KJÊLOSTANE	 dZ e l w s t a n a
KJÊLOSTAR	 dZ e l w s t a R
KJÊLOSTEN	 dZ e l w s t @ n
KJÊLROM	 dZ E l R u m
KJÊLROMMA	 dZ E l R O m m A
KJÊLROMMET	 dZ E l R O m m @ t
KJÊLROMMI	 dZ E l R O m m i
KJÊLSMED	 dZ E l s m @ d
KJÊLSMEDANE	 dZ E l s m e d a n a
KJÊLSMEDAR	 dZ E l s m e d a R
KJÊLSMEDEN	 dZ E l s m e d @ n
KJÊLSTEIN	 dZ E l s t aI n
KJÊLSTEINANE	 dZ E l s t aI n a n a
KJÊLSTEINAR	 dZ E l s t aI n a R
KJÊLSTEINEN	 dZ E l s t aI n @ n
KJØL	 dZ y l
KJØLE	 dZ y l a
KJØLEN	 dZ y l @ n
KJØLENDE	 dZ y l E n n a
KJØLENDES	 dZ y l E n n @ s
KJØLENS	 dZ y l @ n s
KJØLER	 dZ y l @ R
KJØLES	 dZ y l @ s
KJØLING	 dZ y l I N
KJØLNE	 dZ W l n a
KJØLNES	 dZ W l n @ s
KJØLT	 dZ W l t
KJØLTE	 dZ W l t a
KJØLTES	 dZ W l t @ s
KJØLTS	 dZ W l t s
KJØR	 dZ y R
KJØRE	 dZ y R a
KJØRENDE	 dZ y R E n n a
KJØRENDES	 dZ y R E n n @ s
KJØRER	 dZ y R @ R
KJØRERE	 dZ y R e R a
KJØRERES	 dZ y R e R @ s
KJØRES	 dZ y R @ s
KJØRING	 dZ y R I N
KJØRLAUG	 dZ W R l a w g
KJØRSTAD	 dZ W R S t a d
KJØRT	 dZ W R t
KJØRTE	 dZ W R t a
KJØRTES	 dZ W R t @ s
KJØRTS	 dZ W R t s
KJØRVIK	 dZ W R v i k
KJØS	 dZ y s
KJØTER	 dZ y t @ R
KJØTT	 dZ W t
KLARVÊR	k l A R v @ R
KLARVÊRA	k l A R v e R A
KLARVÊRET	k l A R v e R @ t
KLARVÊRI	k l A R v e R i
KLISJÉANE	k l I S e a n a
KLISJÉAR	k l I S e a R
KLISJÉPREGA	k l I S e p R e g A
KLISJÉPREGAARE	k l I S e p R e g o R a
KLISJÉPREGAAST	k l I S e p R e g O s t
KLISJÉPREGAASTE	k l I S e p R e g O s t a
KLISSVÊR	k l I s s v @ R
KLISSVÊRA	k l I s s v e R A
KLISSVÊRET	k l I s s v e R @ t
KLISSVÊRI	k l I s s v e R i
KLYSSFÔRINGANE	k l y s s f u R I N a n a
KLYSSFÔRINGAR	k l y s s f u R I N a R
KLYSSFÔRINGI	k l y s s f u R I N i
KLÆR	k l a R
KLØ	k l y
KLØDD	k l W d
KLØDDE	k l W d a
KLØDDES	k l W d @ s
KLØDDS	k l W d s
KLØE	k l y a
KLØEN	k l y @ n
KLØENDE	k l y E n n a
KLØENDES	k l y E n n @ s
KLØENS	k l y @ n s
KLØES	k l y @ s
KLØING	k l y I N
KLØR	k l y R
KLØRNE	k l W R n a
KLØRNES	k l W R n @ s
KLØS	k l y s
KLÅRVÊR	k l O R v @ R
KLÅRVÊRA	k l O R v e R A
KLÅRVÊRET	k l O R v e R @ t
KLÅRVÊRI	k l O R v e R i
KNÒD	k n u d
KNÒDA	k n u d A
KNÒDANDE	k n u d A n n a
KNÒDAR	k n u d a R
KNÒDAS	k n u d a s
KNÒDAST	k n u d A s t
KNÒDD	k n O d
KNÒDDE	k n O d a
KNÒDE	k n u d a
KNÒDENE	k n u d E n a
KNÒDER	k n u d @ R
KNÒDONE	k n u d u n a
KNÒDOR	k n u d u R
KNÒDT	k n O d t
KOINÉ	k O I n e
KOINÉANE	k O I n e a n a
KOINÉAR	k O I n e a R
KOINÉEN	k O I n e @ n
KOMITÉANE	k u m i t e a n a
KOMITÉAR	k u m i t e a R
KOMITÉARBEIDA	k u m i t e A R b aI d A
KOMITÉARBEIDI	k u m i t e A R b aI d i
KOMITÉDRØFTING	k u m i t e d R W f t I N
KOMITÉDRØFTINGA	k u m i t e d R W f t I N A
KOMITÉDRØFTINGANE	k u m i t e d R W f t I N a n a
KOMITÉDRØFTINGAR	k u m i t e d R W f t I N a R
KOMITÉDRØFTINGI	k u m i t e d R W f t I N i
KOMITÉEN	k u m i t e @ n
KOMITÉFORMANNEN	k u m i t e f O R m A n n @ n
KOMITÉFORMENN	k u m i t e f O R m E n
KOMITÉFORMENNENE	k u m i t e f O R m E n n E n a
KOMITÉFORMENNER	k u m i t e f O R m E n n @ R
KOMITÉFORSLAG	k u m i t e f O R S l a g
KOMITÉFORSLAGA	k u m i t e f O R S l a g A
KOMITÉFORSLAGET	k u m i t e f O R S l a g @ t
KOMITÉFORSLAGI	k u m i t e f O R S l a j i
KOMITÉFRAMLEGG	k u m i t e f R A m l E g
KOMITÉFRAMLEGGA	k u m i t e f R A m l E g A
KOMITÉFRAMLEGGET	k u m i t e f R A m l E g @ t
KOMITÉFRAMLEGGI	k u m i t e f R A m l E g i
KOMITÉINNSTILLINGANE	k u m i t e I n s t I l l I N a n a
KOMITÉINNSTILLINGAR	k u m i t e I n s t I l l I N a R
KOMITÉINNSTILLINGI	k u m i t e I n s t I l l I N i
KOMITÉMEDLEMANE	k u m i t e m @ d l e m a n a
KOMITÉMEDLEMAR	k u m i t e m @ d l e m a R
KOMITÉMEDLEMEN	k u m i t e m @ d l e m @ n
KOMITÉMEDLEMENE	k u m i t e m @ d l e m E n a
KOMITÉMEDLEMER	k u m i t e m @ d l e m @ R
KOMITÉMEDLEMMANE	k u m i t e m @ d l E m m a n a
KOMITÉMEDLEMMAR	k u m i t e m @ d l E m m a R
KOMITÉMEDLEMMEN	k u m i t e m @ d l E m m @ n
KOMITÉMØTA	k u m i t e m y t A
KOMITÉMØTI	k u m i t e m y t i
KOMITÉTILRÅDING	k u m i t e t I l R o d I N
KOMITÉTILRÅDINGA	k u m i t e t I l R o d I N A
KOMITÉTILRÅDINGANE	k u m i t e t I l R o d I N a n a
KOMITÉTILRÅDINGAR	k u m i t e t I l R o d I N a R
KOMITÉTILRÅDINGI	k u m i t e t I l R o d I N i
KOMMUNIKÉI	k O m m u n i k e i
KOMPOSITTKAPITÉL	k O m p u s I t k a p i t e l
KOMPOSITTKAPITÉLA	k O m p u s I t k a p i t e l A
KOMPOSITTKAPITÉLANE	k O m p u s I t k a p i t e l a n a
KOMPOSITTKAPITÉLAR	k O m p u s I t k a p i t e l a R
KOMPOSITTKAPITÉLI	k O m p u s I t k a p i t e l i
KONSERTTURNÉANE	k O n s a R t u R n e a n a
KONSERTTURNÉAR	k O n s a R t u R n e a R
KONSERTTURNÉEN	k O n s a R t u R n e @ n
KONTROLLKOMITÉANE	k O n t R O l k u m i t e a n a
KONTROLLKOMITÉAR	k O n t R O l k u m i t e a R
KORNBØNDENE	k O R n b W n n E n a
KORNBØNDENES	k O R n b W n n e n @ s
KORYFÉ	k u R y f e
KORYFÉANE	k u R y f e a n a
KORYFÉAR	k u R y f e a R
KORYFÉEN	k u R y f e @ n
KÒS	k u s
KÒSA	k u s A
KÒSI	k u s i
KÒST	k w s t
KÒSTANE	k w s t a n a
KÒSTAR	k w s t a R
KÒSTEN	k w s t @ n
KRAFTFÔRI	k R A f t f u R i
KRÒK	k R u k
KRÒKA	k R u k A
KRÒKANDE	k R u k A n n a
KRÒKAR	k R u k a R
KRÒKAS	k R u k a s
KRÒKAST	k R u k A s t
KRÒKE	k R u k a
KRÒKEN	k R u k @ n
KRÒKENT	k R u k E n t
KRÒKI	k R u dZ i
KRÒKN	k R O k n
KRÒKNA	k R O k n A
KRÒKNANDE	k R O k n A n n a
KRÒKNAR	k R O k n a R
KRÒKNARE	k R O k n a R a
KRÒKNAS	k R O k n a s
KRÒKNAST	k R O k n A s t
KRÒKNASTE	k R O k n A s t a
KRÒKNE	k R O k n a
KRÒP	k R u p
KRÒPA	k R u p A
KRÒPET	k R u p @ t
KRÒPI	k R u p i
KRÜGER	k R y g @ R
KRØKA	k R y k A
KRØKE	k R y k a
KRØKEN	k R y k @ n
KRØKENE	k R y k E n a
KRØKENS	k R y k @ n s
KRØKER	k R y k @ R
KRØKES	k R y k @ s
KRØS	k R y s
KRØS'	k R y s
KRØSENE	k R y s E n a
KRØSENES	k R y s e n @ s
KUFÔRA	k u f u R A
KUFÔRBLANDINGANE	k u f O R b l A n n I N a n a
KUFÔRBLANDINGAR	k u f O R b l A n n I N a R
KUFÔRBLANDINGI	k u f O R b l A n n I N i
KUFÔRET	k u f u R @ t
KUFÔRI	k u f u R i
KUNSTLÊR	k u n s t l @ R
KUNSTLÊRA	k u n s t l e R A
KUNSTLÊRET	k u n s t l e R @ t
KUNSTLÊRI	k u n s t l e R i
KUNSTMUSÉ	k u n s t m u s e
KUNSTMUSÉA	k u n s t m u s e A
KUNSTMUSÉET	k u n s t m u s e @ t
KUNSTMUSÉI	k u n s t m u s e i
KUPÉ	k u p e
KUPÉANE	k u p e a n a
KUPÉAR	k u p e a R
KUPÉMODELL	k u p e m u d E l
KUPÉMODELLANE	k u p e m u d E l l a n a
KUPÉMODELLAR	k u p e m u d E l l a R
KUPÉMODELLEN	k u p e m u d E l l @ n
KUPÉVARMAR	k u p e v A R m a R
KUPÉVARMARANE	k u p e v A R m a R a n a
KUPÉVARMARAR	k u p e v A R m a R a R
KUPÉVARMAREN	k u p e v A R m a R @ n
KUPÉVOGNI	k u p e v O N n i
KVINNESÂL	k v I n n e s a l
KVINNESÂLANE	k v I n n e s a l a n a
KVINNESÂLAR	k v I n n e s a l a R
KVINNESÂLEN	k v I n n e s a l @ n
KVITRÒT	k v I t R u t
KVITRÒTA	k v I t R u t A
KVITRÒTANE	k v I t R u t a n a
KVITRÒTAR	k v I t R u t a R
KVITRÒTE	k v I t R u t a
KVITRÒTEN	k v I t R u t @ n
KVITRÒTET	k v I t R u t @ t
KVITRÒTI	k v I t R u t i
KVÆL	k v E l
KØ	k y
KØDD	k W d
KØDDE	k W d a
KØDDES	k W d @ s
KØDDS	k W d s
KØENDE	k y E n n a
KØENDES	k y E n n @ s
KØGE	k y g a
KÖHLER	k W h l @ R
KØING	k y I N
KØL	k y l
KØS	k y s
KÅPEFÔR	k o p e f u R
KÅPEFÔRA	k o p e f u R A
KÅPEFÔRET	k o p e f u R @ t
KÅPEFÔRI	k o p e f u R i
LAKKLÊR	l A k l @ R
LAKKLÊRA	l A k l e R A
LAKKLÊRET	l A k l e R @ t
LAKKLÊRI	l A k l e R i
LAMÉANE	l a m e a n a
LAMÉAR	l a m e a R
LAMMEFRIKASSÉANE	l A m m @ f R i k A s s e a n a
LAMMEFRIKASSÉAR	l A m m @ f R i k A s s e a R
LÊR	l e R
LÊRA	l e R A
LÊRBALL	l a R b A l
LÊRBALLANE	l a R b A l l a n a
LÊRBALLAR	l a R b A l l a R
LÊRBALLEN	l a R b A l l @ n
LÊRBELTA	l a R b @ l t A
LÊRBELTE	l a R b E l t a
LÊRBELTET	l a R b E l t @ t
LÊRBELTI	l a R b @ l t i
LÊRBRÅK	l a R b R o k
LÊRBRÅKA	l a R b R o k A
LÊRBRÅKENE	l a R b R o k E n a
